sensor,language,tone,participant,script,time,autocorrelation_mean,autocorrelation_standard deviation,autocorrelation_min,autocorrelation_max,autocorrelation_missing
autocorrelations,ch,bus,jack,t1,2.0,3.8618321638601024e-08,3.576396139078125e-08,-5.551323744e-09,2.12729016e-07,0.0
autocorrelations,ch,bus,jack,t1,4.0,-2.6149808019345363e-08,1.2413839875965653e-08,-4.717071045e-08,6.97402549e-10,0.0
autocorrelations,ch,bus,jack,t1,6.0,-2.267588767338866e-08,1.34249224183636e-08,-4.740881174e-08,-1.029778437e-10,0.0
autocorrelations,ch,bus,jack,t1,8.0,8.3861734387133e-09,7.748069318777743e-09,-8.603232168e-09,2.477835918e-08,0.0
autocorrelations,ch,bus,jack,t1,10.0,6.799234716610309e-09,7.644335957132331e-09,-5.135774695e-09,2.331853528e-08,0.0
autocorrelations,ch,bus,jack,t1,12.0,-5.428534627236082e-09,7.053954988651445e-09,-1.97475247e-08,7.252587996e-09,0.0
autocorrelations,ch,bus,jack,t1,14.0,-1.573332042248453e-08,6.154217126340637e-09,-3.138149263e-08,-1.105253785e-09,0.0
autocorrelations,ch,bus,jack,t1,16.0,9.144447441920618e-09,1.0679622949902993e-08,-1.250513659e-08,2.912635874e-08,0.0
autocorrelations,ch,bus,jack,t1,18.0,2.4153297439175257e-08,6.500702239753674e-09,1.009560301e-08,3.864766997e-08,0.0
autocorrelations,ch,bus,jack,t1,20.0,3.673480014486206e-09,9.711122741639029e-09,-1.52836211e-08,2.280042893e-08,0.0
autocorrelations,ch,bus,jack,t2,2.0,1.7121027205371135e-07,7.734127218825083e-08,2.72130714e-08,3.181630746e-07,0.0
autocorrelations,ch,bus,jack,t2,4.0,-6.950146039266906e-08,5.7692035664084914e-08,-1.667473473e-07,5.513932631e-08,0.0
autocorrelations,ch,bus,jack,t2,6.0,-1.1765576317226803e-07,3.4041604277358914e-08,-1.719449237e-07,-3.677465068e-08,0.0
autocorrelations,ch,bus,jack,t2,8.0,6.589757559511442e-09,4.000290837852488e-08,-7.220293308e-08,8.913092594e-08,0.0
autocorrelations,ch,bus,jack,t2,10.0,4.353931589876289e-08,3.550339726132483e-08,-3.632589009e-08,9.858420708e-08,0.0
autocorrelations,ch,bus,jack,t2,12.0,-8.114478732944331e-08,3.188442589945302e-08,-1.381669858e-07,-4.499233606e-09,0.0
autocorrelations,ch,bus,jack,t2,14.0,-7.695810621667629e-08,4.2016849157972525e-08,-1.410554309e-07,1.985060446e-08,0.0
autocorrelations,ch,bus,jack,t2,16.0,7.652729530781443e-08,3.7702995648905335e-08,-9.729935507e-09,1.465551503e-07,0.0
autocorrelations,ch,bus,jack,t2,18.0,1.2379710636938145e-07,2.3384146117002103e-08,5.709045318e-08,1.606705378e-07,0.0
autocorrelations,ch,bus,jack,t2,20.0,1.606065334493908e-08,3.724059246601184e-08,-5.2880956e-08,9.85136276e-08,0.0
autocorrelations,ch,bus,jack,t3,2.0,3.5737542754907214e-08,2.1790157958969323e-08,3.064415563e-09,7.888748466e-08,0.0
autocorrelations,ch,bus,jack,t3,4.0,-3.3509492339829896e-09,2.872544444760549e-09,-1.03151e-08,2.255729417e-09,0.0
autocorrelations,ch,bus,jack,t3,6.0,-1.6822194465876286e-08,3.28627974664287e-09,-2.188917528e-08,-1.039801637e-08,0.0
autocorrelations,ch,bus,jack,t3,8.0,-2.3479112124742265e-08,2.1554069302668516e-09,-2.685410697e-08,-1.826451671e-08,0.0
autocorrelations,ch,bus,jack,t3,10.0,-5.000855335475773e-09,6.606257162483304e-09,-1.777238732e-08,3.635926398e-09,0.0
autocorrelations,ch,bus,jack,t3,12.0,6.792629041608248e-10,1.0026548884007428e-09,-6.240079358e-10,2.626049077e-09,0.0
autocorrelations,ch,bus,jack,t3,14.0,5.513021019999999e-09,1.3146814484440984e-09,2.428548364e-09,8.567128617e-09,0.0
autocorrelations,ch,bus,jack,t3,16.0,1.7908466553628864e-08,3.892805332193633e-09,8.967002455e-09,2.234096843e-08,0.0
autocorrelations,ch,bus,jack,t3,18.0,5.338698483020618e-09,4.049825242663221e-09,1.428374106e-09,1.653004993e-08,0.0
autocorrelations,ch,bus,jack,t3,20.0,-6.8869455579966676e-09,6.274669039459558e-09,-1.765196948e-08,2.124601868e-09,0.0
autocorrelations,ch,bus,jack,t4,2.0,1.3558738521172166e-07,1.4371316928502088e-07,-1.21839104e-07,4.025531234e-07,0.0
autocorrelations,ch,bus,jack,t4,4.0,-1.3181112087927835e-07,4.040503980111073e-08,-1.985852575e-07,-3.952762024e-08,0.0
autocorrelations,ch,bus,jack,t4,6.0,-3.058217838695382e-08,6.327644564556229e-08,-1.656748605e-07,9.47546412e-08,0.0
autocorrelations,ch,bus,jack,t4,8.0,4.341700564576876e-08,3.708001261552018e-08,-3.023359184e-08,1.090514627e-07,0.0
autocorrelations,ch,bus,jack,t4,10.0,-2.663482736152578e-09,3.453369181327016e-08,-6.889308984e-08,5.988049043e-08,0.0
autocorrelations,ch,bus,jack,t4,12.0,-2.87069466856165e-08,3.150106965485488e-08,-8.16228724e-08,2.283124113e-08,0.0
autocorrelations,ch,bus,jack,t4,14.0,-5.966197347866287e-08,3.394173064868508e-08,-1.218761976e-07,1.577881733e-08,0.0
autocorrelations,ch,bus,jack,t4,16.0,4.999297440853401e-08,4.843570018089566e-08,-6.824227163e-08,1.335444434e-07,0.0
autocorrelations,ch,bus,jack,t4,18.0,1.0101711324773195e-07,3.371717181390902e-08,1.020400449e-08,1.568270502e-07,0.0
autocorrelations,ch,bus,jack,t4,20.0,-6.700295278170114e-08,6.64231716552114e-08,-1.846782388e-07,6.834916374e-08,0.0
autocorrelations,ch,bus,yaoyi,t1,2.0,1.4274213113814432e-07,2.4883018657315802e-08,1.0026472e-07,2.042780537e-07,0.0
autocorrelations,ch,bus,yaoyi,t1,4.0,6.548733532309278e-08,1.9706355752341892e-08,3.432163575e-08,1.000075846e-07,0.0
autocorrelations,ch,bus,yaoyi,t1,6.0,9.66098993113557e-09,1.445870192738319e-08,-1.260517441e-08,3.449226485e-08,0.0
autocorrelations,ch,bus,yaoyi,t1,8.0,-1.5679411565051546e-08,1.6865085721517388e-09,-1.860563418e-08,-1.041012256e-08,0.0
autocorrelations,ch,bus,yaoyi,t1,10.0,-2.6309424059587627e-08,5.67985046429652e-09,-3.603762056e-08,-1.771735805e-08,0.0
autocorrelations,ch,bus,yaoyi,t1,12.0,-3.964330468247423e-08,2.352419706352621e-09,-4.2627595e-08,-3.575690518e-08,0.0
autocorrelations,ch,bus,yaoyi,t1,14.0,-4.854236652185567e-08,4.125634070007792e-09,-5.429132016e-08,-4.105708284e-08,0.0
autocorrelations,ch,bus,yaoyi,t1,16.0,-3.213810603072165e-08,1.2302403833860342e-08,-5.157240804e-08,-1.348814361e-08,0.0
autocorrelations,ch,bus,yaoyi,t1,18.0,-9.15344104084536e-09,1.7797618696704042e-09,-1.328888864e-08,-5.862792579e-09,0.0
autocorrelations,ch,bus,yaoyi,t1,20.0,-1.606566159275862e-08,1.4632598628189492e-09,-1.847190809e-08,-1.147415589e-08,0.0
autocorrelations,ch,bus,yaoyi,t2,2.0,1.3771060871752578e-07,2.4290069399315667e-08,1.018943686e-07,1.855732694e-07,0.0
autocorrelations,ch,bus,yaoyi,t2,4.0,5.575129573597938e-08,1.6968379797943376e-08,3.594621309e-08,1.005718064e-07,0.0
autocorrelations,ch,bus,yaoyi,t2,6.0,4.1030261586907215e-08,1.0500971869611682e-08,2.626107888e-08,5.561314006e-08,0.0
autocorrelations,ch,bus,yaoyi,t2,8.0,4.564517661824743e-08,1.1468360135772113e-08,1.764685399e-08,6.040899715e-08,0.0
autocorrelations,ch,bus,yaoyi,t2,10.0,-3.4237948097e-09,1.6841546142371753e-08,-3.589099495e-08,1.670413888e-08,0.0
autocorrelations,ch,bus,yaoyi,t2,12.0,-3.6026268708865986e-08,4.451888478956659e-09,-4.368498686e-08,-2.907911918e-08,0.0
autocorrelations,ch,bus,yaoyi,t2,14.0,-1.33233023494634e-08,6.361913834904965e-09,-2.808488563e-08,4.494866854e-09,0.0
autocorrelations,ch,bus,yaoyi,t2,16.0,-1.1810421211069073e-08,1.610874468127527e-08,-3.009847324e-08,1.11096328e-08,0.0
autocorrelations,ch,bus,yaoyi,t2,18.0,-6.299040389762886e-08,1.5638645260081544e-08,-7.764377948e-08,-3.042001736e-08,0.0
autocorrelations,ch,bus,yaoyi,t2,20.0,-7.610778548954023e-08,1.0947909287873478e-08,-8.845938981e-08,-5.724635183e-08,0.0
autocorrelations,ch,bus,yaoyi,t3,2.0,9.566527874494845e-08,2.2281837999502218e-08,5.671461708e-08,1.413964097e-07,0.0
autocorrelations,ch,bus,yaoyi,t3,4.0,4.033086267824742e-08,1.565321568484335e-08,1.34736189e-08,7.297844348e-08,0.0
autocorrelations,ch,bus,yaoyi,t3,6.0,1.8222623264644843e-08,8.596121144349985e-09,-7.041624395e-11,3.243116958e-08,0.0
autocorrelations,ch,bus,yaoyi,t3,8.0,1.7460634218202267e-08,8.653679735961687e-09,-7.276036302e-10,3.302783863e-08,0.0
autocorrelations,ch,bus,yaoyi,t3,10.0,2.0851314017010304e-08,7.015537862144897e-09,9.162274608e-09,3.270461796e-08,0.0
autocorrelations,ch,bus,yaoyi,t3,12.0,-3.101479418157732e-09,1.0509346932602417e-08,-2.023624824e-08,2.47362108e-08,0.0
autocorrelations,ch,bus,yaoyi,t3,14.0,-2.8115212221804122e-08,1.1182211297519146e-08,-4.657291293e-08,-2.740554127e-09,0.0
autocorrelations,ch,bus,yaoyi,t3,16.0,-4.475354897969073e-08,9.20093184220818e-09,-6.171397341e-08,-2.702576e-08,0.0
autocorrelations,ch,bus,yaoyi,t3,18.0,-3.3877323024948455e-08,1.0112803969329066e-08,-5.748243874e-08,-1.742953997e-08,0.0
autocorrelations,ch,bus,yaoyi,t3,20.0,-2.351801009252873e-08,7.3203209367019054e-09,-3.747586502e-08,-1.046712758e-08,0.0
autocorrelations,ch,bus,yaoyi,t4,2.0,5.1937973974123716e-08,1.3078818053446767e-08,2.860328969e-08,7.781633281e-08,0.0
autocorrelations,ch,bus,yaoyi,t4,4.0,2.302907197804124e-08,5.8827470472620455e-09,1.028695085e-08,3.593590555e-08,0.0
autocorrelations,ch,bus,yaoyi,t4,6.0,3.1172554785095874e-09,7.195317724372394e-09,-1.126911155e-08,1.780693464e-08,0.0
autocorrelations,ch,bus,yaoyi,t4,8.0,-1.3179443171463917e-08,4.707017178727849e-09,-2.407721972e-08,-3.017531552e-09,0.0
autocorrelations,ch,bus,yaoyi,t4,10.0,-2.2572161477938146e-08,3.569037310900488e-09,-2.86211195e-08,-1.529737632e-08,0.0
autocorrelations,ch,bus,yaoyi,t4,12.0,-2.7878788266597935e-08,5.08550768114067e-09,-3.821352064e-08,-1.819158087e-08,0.0
autocorrelations,ch,bus,yaoyi,t4,14.0,-2.873229542969072e-08,5.179655535011055e-09,-3.873587189e-08,-1.793673104e-08,0.0
autocorrelations,ch,bus,yaoyi,t4,16.0,-2.1276065132886597e-08,3.3994757941443746e-09,-2.674951429e-08,-1.580643573e-08,0.0
autocorrelations,ch,bus,yaoyi,t4,18.0,-1.55163462501e-08,6.5482582597080925e-09,-2.676741639e-08,-2.982019327e-10,0.0
autocorrelations,ch,bus,yaoyi,t4,20.0,1.7303765977168966e-09,4.280272673956701e-09,-7.815107908e-09,1.044848623e-08,0.0
autocorrelations,ch,casual,jack,t1,2.0,3.856573271493814e-08,1.2132153502263932e-07,-8.991741304e-08,2.757851811e-07,0.0
autocorrelations,ch,casual,jack,t1,4.0,-1.0876150165746392e-08,6.987604569905465e-08,-1.191319653e-07,7.089922146e-08,0.0
autocorrelations,ch,casual,jack,t1,6.0,-2.2402038438536085e-08,4.588397609594482e-08,-1.133415125e-07,3.501871087e-08,0.0
autocorrelations,ch,casual,jack,t1,8.0,-1.0366907361783504e-08,7.643306790601086e-08,-1.082818957e-07,8.721964268e-08,0.0
autocorrelations,ch,casual,jack,t1,10.0,-7.033956778095876e-09,4.208222816114718e-08,-6.1460249e-08,6.801416826e-08,0.0
autocorrelations,ch,casual,jack,t1,12.0,-9.964781903059794e-09,7.07035931882787e-08,-9.856500917e-08,8.1186779e-08,0.0
autocorrelations,ch,casual,jack,t1,14.0,-7.817142357558763e-09,2.8822679579232238e-08,-8.277112822e-08,2.268252111e-08,0.0
autocorrelations,ch,casual,jack,t1,16.0,4.996576512005257e-08,3.724865254610081e-08,-1.631656359e-08,9.452843787e-08,0.0
autocorrelations,ch,casual,jack,t1,18.0,7.298782320956701e-09,4.170472479368607e-08,-4.383311266e-08,8.556336476e-08,0.0
autocorrelations,ch,casual,jack,t1,20.0,-2.108263415231034e-08,7.214737453945076e-08,-1.076238204e-07,8.613523381e-08,0.0
autocorrelations,ch,casual,jack,t2,2.0,-2.2176625860577328e-07,1.5085013978171021e-06,-2.045723912e-06,2.537497009e-06,0.0
autocorrelations,ch,casual,jack,t2,4.0,-1.776196464649483e-08,1.4531898043358026e-06,-1.959656172e-06,1.855301585e-06,0.0
autocorrelations,ch,casual,jack,t2,6.0,2.1000159249938144e-07,1.1815571540784425e-06,-1.902536318e-06,1.726810344e-06,0.0
autocorrelations,ch,casual,jack,t2,8.0,3.4185439058927833e-07,1.275843307883549e-06,-1.909658966e-06,1.918451028e-06,0.0
autocorrelations,ch,casual,jack,t2,10.0,-2.0712343159175226e-08,1.2631628644646363e-06,-1.653699005e-06,1.672786456e-06,0.0
autocorrelations,ch,casual,jack,t2,12.0,-2.4039132914124746e-07,9.81056288410105e-07,-1.52748797e-06,1.434638962e-06,0.0
autocorrelations,ch,casual,jack,t2,14.0,-3.590245653863093e-07,1.0368944982269226e-06,-1.692096955e-06,1.435905771e-06,0.0
autocorrelations,ch,casual,jack,t2,16.0,6.167520608309327e-09,1.2529004288629108e-06,-1.633843098e-06,1.651338001e-06,0.0
autocorrelations,ch,casual,jack,t2,18.0,3.151970622945773e-07,1.0104724765649276e-06,-1.397956666e-06,1.622520703e-06,0.0
autocorrelations,ch,casual,jack,t2,20.0,4.3701640333264356e-07,9.968435442639417e-07,-1.391214737e-06,1.648307705e-06,0.0
autocorrelations,ch,casual,jack,t3,2.0,4.272756354390721e-05,2.351737512891493e-05,8.611356583e-06,7.883520603e-05,0.0
autocorrelations,ch,casual,jack,t3,4.0,-3.926216764456083e-05,2.6932921602582507e-05,-6.916515903e-05,8.009674945e-06,0.0
autocorrelations,ch,casual,jack,t3,6.0,-4.521796417546391e-05,1.0591150101842365e-05,-6.498174828e-05,-1.933983323e-05,0.0
autocorrelations,ch,casual,jack,t3,8.0,3.369705117906701e-05,2.2436969660798406e-05,-1.804359558e-05,5.281004089e-05,0.0
autocorrelations,ch,casual,jack,t3,10.0,4.849924842773197e-05,1.3168020203479333e-05,1.173830428e-05,6.017452743e-05,0.0
autocorrelations,ch,casual,jack,t3,12.0,-2.609646158547938e-05,1.563977005674534e-05,-5.3686577e-05,1.032606808e-05,0.0
autocorrelations,ch,casual,jack,t3,14.0,-5.033689199092783e-05,1.8219376764047718e-05,-6.928792662e-05,-1.247490954e-05,0.0
autocorrelations,ch,casual,jack,t3,16.0,1.955595679116474e-05,2.289286982801033e-05,-1.179734103e-05,6.279355112e-05,0.0
autocorrelations,ch,casual,jack,t3,18.0,5.026181664505154e-05,1.2924995100286995e-05,3.145836472e-05,6.725214727e-05,0.0
autocorrelations,ch,casual,jack,t3,20.0,-9.440356950303448e-06,2.889233040429724e-05,-5.425666734e-05,3.11607938e-05,0.0
autocorrelations,ch,casual,jack,t4,2.0,-1.7439096945072166e-08,2.2557293845398797e-07,-2.806397155e-07,3.985546452e-07,0.0
autocorrelations,ch,casual,jack,t4,4.0,6.465666102814428e-09,2.2763789634235884e-07,-3.325826572e-07,2.782936022e-07,0.0
autocorrelations,ch,casual,jack,t4,6.0,5.2287918170567016e-08,1.7736053029360024e-07,-2.96349027e-07,2.769280414e-07,0.0
autocorrelations,ch,casual,jack,t4,8.0,6.7629369210103095e-09,2.2629824468581578e-07,-2.901244974e-07,2.951432911e-07,0.0
autocorrelations,ch,casual,jack,t4,10.0,-6.126873510905154e-08,1.737323538188322e-07,-2.814192555e-07,2.734927138e-07,0.0
autocorrelations,ch,casual,jack,t4,12.0,-3.69404131570897e-08,2.1036468184834288e-07,-2.889075315e-07,2.926717393e-07,0.0
autocorrelations,ch,casual,jack,t4,14.0,3.926826189214433e-08,1.974960112198877e-07,-2.856578688e-07,2.780427281e-07,0.0
autocorrelations,ch,casual,jack,t4,16.0,7.305559971492783e-08,1.8280700989735286e-07,-2.761582738e-07,3.020408555e-07,0.0
autocorrelations,ch,casual,jack,t4,18.0,-2.526040776235051e-08,2.1907383007285366e-07,-2.993744908e-07,2.731822851e-07,0.0
autocorrelations,ch,casual,jack,t4,20.0,-1.1066161505454023e-07,1.4996509917134806e-07,-2.972106863e-07,1.904944791e-07,0.0
autocorrelations,ch,casual,yaoyi,t1,2.0,-2.8803430170979385e-08,2.3293593994432745e-07,-3.044713406e-07,4.241287631e-07,0.0
autocorrelations,ch,casual,yaoyi,t1,4.0,-6.131249722247436e-09,2.359909505769605e-07,-3.282718638e-07,2.909040366e-07,0.0
autocorrelations,ch,casual,yaoyi,t1,6.0,4.415735673751547e-08,1.7853528329622698e-07,-2.732314582e-07,2.768290005e-07,0.0
autocorrelations,ch,casual,yaoyi,t1,8.0,4.169783148470103e-08,2.0516097118970962e-07,-2.889817028e-07,2.896861684e-07,0.0
autocorrelations,ch,casual,yaoyi,t1,10.0,-1.635708042408247e-08,2.0129949576960945e-07,-2.674735072e-07,2.773050641e-07,0.0
autocorrelations,ch,casual,yaoyi,t1,12.0,-5.546591456563917e-08,1.6024910595455968e-07,-2.649709851e-07,2.318196784e-07,0.0
autocorrelations,ch,casual,yaoyi,t1,14.0,-2.8813693097422676e-08,1.8910392633481864e-07,-2.626652896e-07,2.492899111e-07,0.0
autocorrelations,ch,casual,yaoyi,t1,16.0,3.380637066287114e-08,1.7857889513058102e-07,-2.532658946e-07,2.544250312e-07,0.0
autocorrelations,ch,casual,yaoyi,t1,18.0,5.40533878914433e-08,1.5484719012753572e-07,-2.407994229e-07,2.513037119e-07,0.0
autocorrelations,ch,casual,yaoyi,t1,20.0,-1.1510134216597703e-08,1.7924669178665552e-07,-2.349142725e-07,2.284404683e-07,0.0
autocorrelations,ch,casual,yaoyi,t2,2.0,-1.7449358456958762e-07,1.3076415905534722e-06,-1.727060776e-06,2.241341087e-06,0.0
autocorrelations,ch,casual,yaoyi,t2,4.0,-8.580683586938144e-08,9.454786510611797e-07,-1.350003879e-06,1.203531677e-06,0.0
autocorrelations,ch,casual,yaoyi,t2,6.0,2.8934240347999997e-07,1.143963273546441e-06,-1.684395459e-06,1.689582519e-06,0.0
autocorrelations,ch,casual,yaoyi,t2,8.0,9.11571959856701e-08,9.171795908261659e-07,-1.667320223e-06,1.245034841e-06,0.0
autocorrelations,ch,casual,yaoyi,t2,10.0,1.800590819848144e-07,8.640586721171584e-07,-1.066292594e-06,1.308356642e-06,0.0
autocorrelations,ch,casual,yaoyi,t2,12.0,-2.1402785555876288e-07,1.0148692586733068e-06,-1.478526617e-06,1.300964703e-06,0.0
autocorrelations,ch,casual,yaoyi,t2,14.0,-2.639995161391751e-08,7.374104809073751e-07,-1.009058438e-06,1.197139254e-06,0.0
autocorrelations,ch,casual,yaoyi,t2,16.0,-3.1444496048020616e-07,9.17610008048317e-07,-1.478584924e-06,1.221314668e-06,0.0
autocorrelations,ch,casual,yaoyi,t2,18.0,1.2374533230886597e-07,9.415115489347048e-07,-1.143467234e-06,1.353131162e-06,0.0
autocorrelations,ch,casual,yaoyi,t2,20.0,2.4379436529944827e-07,7.212374788550978e-07,-1.209642301e-06,1.138770967e-06,0.0
autocorrelations,ch,casual,yaoyi,t3,2.0,4.358882181858763e-08,1.7582722905476416e-07,-2.501097083e-07,4.07549281e-07,0.0
autocorrelations,ch,casual,yaoyi,t3,4.0,-1.9723429899432988e-08,1.6553445345188324e-07,-3.059930017e-07,2.451152889e-07,0.0
autocorrelations,ch,casual,yaoyi,t3,6.0,-2.9015892573453612e-08,1.620378167206627e-07,-3.142836345e-07,2.302340301e-07,0.0
autocorrelations,ch,casual,yaoyi,t3,8.0,-1.1355857580608248e-08,1.5492830855734776e-07,-2.551682303e-07,2.399956862e-07,0.0
autocorrelations,ch,casual,yaoyi,t3,10.0,9.640088760505157e-09,1.4763348561072353e-07,-2.148288467e-07,2.492888003e-07,0.0
autocorrelations,ch,casual,yaoyi,t3,12.0,1.2121587489051545e-08,1.436737622563153e-07,-2.230889479e-07,2.415229155e-07,0.0
autocorrelations,ch,casual,yaoyi,t3,14.0,-1.0119497913814432e-08,1.3778200782992546e-07,-2.239982361e-07,1.993572893e-07,0.0
autocorrelations,ch,casual,yaoyi,t3,16.0,1.4906983737216496e-09,1.349825849413946e-07,-2.239924991e-07,2.287328243e-07,0.0
autocorrelations,ch,casual,yaoyi,t3,18.0,1.902166165518557e-08,1.247699865324566e-07,-1.738432872e-07,2.16151102e-07,0.0
autocorrelations,ch,casual,yaoyi,t3,20.0,1.1067329578126435e-08,1.2166947852752983e-07,-2.097495879e-07,2.161908229e-07,0.0
autocorrelations,ch,casual,yaoyi,t4,2.0,4.0454001862164986e-09,3.6447612915986654e-07,-6.189598959e-07,7.355818525e-07,0.0
autocorrelations,ch,casual,yaoyi,t4,4.0,-3.2571784181340204e-09,3.620507514547253e-07,-6.387922615e-07,6.051574981e-07,0.0
autocorrelations,ch,casual,yaoyi,t4,6.0,2.9185009062092782e-08,3.553569605407416e-07,-6.092274037e-07,6.20176039e-07,0.0
autocorrelations,ch,casual,yaoyi,t4,8.0,-2.759875761134028e-09,3.606305854284995e-07,-6.442859335e-07,6.157746984e-07,0.0
autocorrelations,ch,casual,yaoyi,t4,10.0,-2.809224836460824e-08,3.532555366298591e-07,-6.174082329e-07,6.109680752e-07,0.0
autocorrelations,ch,casual,yaoyi,t4,12.0,-3.121695436315464e-08,3.5537763142055083e-07,-6.238969698e-07,6.111701144e-07,0.0
autocorrelations,ch,casual,yaoyi,t4,14.0,1.0861857890824737e-08,3.6090910737868764e-07,-6.237499706e-07,6.277049755e-07,0.0
autocorrelations,ch,casual,yaoyi,t4,16.0,4.7897750736567016e-08,3.592911316918552e-07,-5.899638267e-07,6.439265088e-07,0.0
autocorrelations,ch,casual,yaoyi,t4,18.0,1.994338666206183e-09,3.607460422162955e-07,-6.243145534e-07,6.139730547e-07,0.0
autocorrelations,ch,casual,yaoyi,t4,20.0,-3.9139759932574716e-08,3.5112397555196537e-07,-6.242264354e-07,5.7048714e-07,0.0
autocorrelations,en,bus,duru,t1,2.0,7.829056463855879e-08,5.5360817173233444e-08,-6.604589661e-09,1.711039416e-07,0.0
autocorrelations,en,bus,duru,t1,4.0,-3.285934637681443e-08,1.0350394456073967e-08,-4.487389924e-08,-7.638310514e-09,0.0
autocorrelations,en,bus,duru,t1,6.0,-5.048767269402062e-08,3.747612415225574e-09,-5.540765096e-08,-4.173151141e-08,0.0
autocorrelations,en,bus,duru,t1,8.0,-5.185612116725568e-09,2.064839532288789e-08,-4.114384436e-08,2.36359244e-08,0.0
autocorrelations,en,bus,duru,t1,10.0,2.6680327734742272e-08,3.519757601708687e-09,1.490892941e-08,2.967628354e-08,0.0
autocorrelations,en,bus,duru,t1,12.0,-9.854126638407218e-09,1.155452589981468e-08,-2.572406105e-08,1.430157507e-08,0.0
autocorrelations,en,bus,duru,t1,14.0,-2.0724969890371132e-08,5.456044435996781e-09,-2.637329149e-08,-8.779556673e-09,0.0
autocorrelations,en,bus,duru,t1,16.0,1.6656783112428863e-09,5.025701630540356e-09,-8.521567659e-09,8.589223675e-09,0.0
autocorrelations,en,bus,duru,t1,18.0,1.369569107354639e-08,1.933679918829269e-09,8.839926873e-09,1.626900465e-08,0.0
autocorrelations,en,bus,duru,t1,20.0,6.840028733252872e-09,3.0194176831153904e-09,1.145422505e-09,1.30911653e-08,0.0
autocorrelations,en,bus,jack,t1,2.0,3.308519586441237e-08,1.9542942380809125e-08,3.457020297e-09,7.323843117e-08,0.0
autocorrelations,en,bus,jack,t1,4.0,-5.820605995744639e-09,3.7056209765275563e-09,-9.63869337e-09,3.032194612e-09,0.0
autocorrelations,en,bus,jack,t1,6.0,-1.2282683168237113e-08,1.3970917477472002e-09,-1.484594282e-08,-9.768979346e-09,0.0
autocorrelations,en,bus,jack,t1,8.0,-1.415488641969072e-08,7.879071744123192e-10,-1.567342176e-08,-1.279355331e-08,0.0
autocorrelations,en,bus,jack,t1,10.0,-9.520314295556701e-09,1.0962426583432782e-09,-1.253791169e-08,-7.319721152e-09,0.0
autocorrelations,en,bus,jack,t1,12.0,-7.612761507824742e-09,1.6813961441194552e-09,-9.277047363e-09,-2.12687675e-09,0.0
autocorrelations,en,bus,jack,t1,14.0,8.907028586644948e-09,5.190837074535754e-09,-2.092053436e-09,1.404077088e-08,0.0
autocorrelations,en,bus,jack,t1,16.0,6.92365291784536e-09,2.873749305387857e-09,2.996777881e-09,1.307286718e-08,0.0
autocorrelations,en,bus,jack,t1,18.0,1.1132420961340209e-08,2.3299383382861752e-09,7.832239786e-09,1.659688906e-08,0.0
autocorrelations,en,bus,jack,t1,20.0,1.0608161510881607e-08,6.638383441098366e-09,-4.445907505e-09,1.694095235e-08,0.0
autocorrelations,en,bus,jack,t2,2.0,1.9216552330571443e-07,1.2584979111907824e-07,-9.227102166e-09,4.065659596e-07,0.0
autocorrelations,en,bus,jack,t2,4.0,-6.407441400979382e-08,1.7899303971276383e-08,-7.865477088e-08,-1.051465761e-08,0.0
autocorrelations,en,bus,jack,t2,6.0,-5.270725722061856e-08,1.6817368358783207e-08,-9.407638314e-08,-3.58530623e-08,0.0
autocorrelations,en,bus,jack,t2,8.0,-1.1893884176134022e-07,9.347281475806929e-09,-1.310770835e-07,-9.578205505e-08,0.0
autocorrelations,en,bus,jack,t2,10.0,-4.490634120884433e-08,4.0832279202664436e-08,-1.02955262e-07,3.097855949e-08,0.0
autocorrelations,en,bus,jack,t2,12.0,3.313074262985567e-08,1.5740504885312873e-08,2.638784086e-09,5.228348089e-08,0.0
autocorrelations,en,bus,jack,t2,14.0,7.149195913711309e-11,8.70828299871518e-09,-9.82208814e-09,2.416965092e-08,0.0
autocorrelations,en,bus,jack,t2,16.0,5.965466152628866e-08,1.5310115830993313e-08,2.549328877e-08,7.580123727e-08,0.0
autocorrelations,en,bus,jack,t2,18.0,7.453125564371135e-08,8.508285091729669e-09,4.8036376e-08,8.143427439e-08,0.0
autocorrelations,en,bus,jack,t2,20.0,-1.4101044554885056e-09,2.2308719910870305e-08,-2.500624076e-08,4.681704273e-08,0.0
autocorrelations,en,bus,jack,t3,2.0,3.5948068281008455e-08,2.5698859730442236e-08,-6.269796618e-09,8.610310033e-08,0.0
